#DH(SLy4)+HP EOS for the outer crust, NL3omegarho EOS for the inner crust and core                                            
#    nb/nb0        nb(fm^-3)     eng(MeV/fm^3)  Prs(MeV/fm^3)   eng(g/cm^3)  Pres(dyn/cm^2)    muB(MeV)    mue(MeV)    h=ln(mub/mN)
   0.161422E+01   0.238905E+00   0.232040E+03   0.156414E+02   0.413657E+15   0.250607E+35   0.103674E+04   0.154461E+03   0.990163E-01
   0.161584E+01   0.239144E+00   0.232287E+03   0.157041E+02   0.414099E+15   0.251612E+35   0.103700E+04   0.154541E+03   0.992694E-01
   0.161745E+01   0.239383E+00   0.232536E+03   0.157671E+02   0.414541E+15   0.252621E+35   0.103726E+04   0.154620E+03   0.995232E-01
   0.161907E+01   0.239623E+00   0.232784E+03   0.158304E+02   0.414984E+15   0.253634E+35   0.103752E+04   0.154700E+03   0.997777E-01
   0.162069E+01   0.239862E+00   0.233033E+03   0.158939E+02   0.415428E+15   0.254651E+35   0.103779E+04   0.154780E+03   0.100033E+00
   0.162231E+01   0.240102E+00   0.233282E+03   0.159576E+02   0.415872E+15   0.255673E+35   0.103806E+04   0.154860E+03   0.100289E+00
   0.162394E+01   0.240343E+00   0.233531E+03   0.160216E+02   0.416316E+15   0.256699E+35   0.103832E+04   0.154939E+03   0.100546E+00
   0.162556E+01   0.240583E+00   0.233781E+03   0.160859E+02   0.416761E+15   0.257728E+35   0.103859E+04   0.155019E+03   0.100803E+00
   0.162719E+01   0.240824E+00   0.234031E+03   0.161505E+02   0.417207E+15   0.258763E+35   0.103886E+04   0.155099E+03   0.101061E+00
   0.162882E+01   0.241065E+00   0.234281E+03   0.162153E+02   0.417653E+15   0.259801E+35   0.103913E+04   0.155179E+03   0.101320E+00
   0.163044E+01   0.241306E+00   0.234532E+03   0.162803E+02   0.418100E+15   0.260844E+35   0.103940E+04   0.155259E+03   0.101580E+00
   0.163208E+01   0.241547E+00   0.234783E+03   0.163457E+02   0.418548E+15   0.261890E+35   0.103967E+04   0.155339E+03   0.101840E+00
   0.163371E+01   0.241789E+00   0.235034E+03   0.164113E+02   0.418996E+15   0.262942E+35   0.103994E+04   0.155419E+03   0.102101E+00
   0.163534E+01   0.242031E+00   0.235286E+03   0.164772E+02   0.419444E+15   0.263997E+35   0.104021E+04   0.155500E+03   0.102363E+00
   0.163698E+01   0.242273E+00   0.235538E+03   0.165433E+02   0.419893E+15   0.265057E+35   0.104048E+04   0.155580E+03   0.102626E+00
   0.163862E+01   0.242515E+00   0.235790E+03   0.166097E+02   0.420343E+15   0.266121E+35   0.104076E+04   0.155660E+03   0.102889E+00
   0.164026E+01   0.242758E+00   0.236043E+03   0.166764E+02   0.420793E+15   0.267189E+35   0.104103E+04   0.155740E+03   0.103153E+00
   0.164190E+01   0.243001E+00   0.236295E+03   0.167433E+02   0.421244E+15   0.268262E+35   0.104131E+04   0.155820E+03   0.103418E+00
   0.164354E+01   0.243244E+00   0.236549E+03   0.168106E+02   0.421695E+15   0.269339E+35   0.104158E+04   0.155901E+03   0.103683E+00
   0.164518E+01   0.243487E+00   0.236802E+03   0.168781E+02   0.422147E+15   0.270420E+35   0.104186E+04   0.155981E+03   0.103949E+00
   0.164683E+01   0.243731E+00   0.237056E+03   0.169458E+02   0.422600E+15   0.271506E+35   0.104214E+04   0.156061E+03   0.104216E+00
   0.164848E+01   0.243975E+00   0.237310E+03   0.170139E+02   0.423053E+15   0.272597E+35   0.104242E+04   0.156142E+03   0.104484E+00
   0.165013E+01   0.244219E+00   0.237565E+03   0.170822E+02   0.423507E+15   0.273691E+35   0.104270E+04   0.156222E+03   0.104753E+00
   0.165178E+01   0.244463E+00   0.237819E+03   0.171508E+02   0.423961E+15   0.274791E+35   0.104298E+04   0.156303E+03   0.105022E+00
   0.165343E+01   0.244708E+00   0.238075E+03   0.172197E+02   0.424416E+15   0.275894E+35   0.104326E+04   0.156383E+03   0.105292E+00
   0.165509E+01   0.244953E+00   0.238330E+03   0.172889E+02   0.424871E+15   0.277002E+35   0.104354E+04   0.156464E+03   0.105563E+00
   0.165674E+01   0.245198E+00   0.238586E+03   0.173583E+02   0.425327E+15   0.278115E+35   0.104383E+04   0.156545E+03   0.105834E+00
   0.165840E+01   0.245443E+00   0.238842E+03   0.174281E+02   0.425784E+15   0.279232E+35   0.104411E+04   0.156625E+03   0.106106E+00
   0.166006E+01   0.245689E+00   0.239098E+03   0.174981E+02   0.426241E+15   0.280354E+35   0.104440E+04   0.156706E+03   0.106379E+00
   0.166172E+01   0.245934E+00   0.239355E+03   0.175684E+02   0.426698E+15   0.281480E+35   0.104468E+04   0.156787E+03   0.106653E+00
   0.166338E+01   0.246181E+00   0.239612E+03   0.176389E+02   0.427157E+15   0.282611E+35   0.104497E+04   0.156867E+03   0.106928E+00
   0.166505E+01   0.246427E+00   0.239870E+03   0.177098E+02   0.427616E+15   0.283746E+35   0.104526E+04   0.156948E+03   0.107203E+00
   0.166671E+01   0.246673E+00   0.240127E+03   0.177809E+02   0.428075E+15   0.284886E+35   0.104555E+04   0.157029E+03   0.107479E+00
   0.166838E+01   0.246920E+00   0.240385E+03   0.178524E+02   0.428535E+15   0.286031E+35   0.104584E+04   0.157110E+03   0.107756E+00
   0.167005E+01   0.247167E+00   0.240644E+03   0.179241E+02   0.428996E+15   0.287180E+35   0.104613E+04   0.157191E+03   0.108033E+00
   0.167172E+01   0.247415E+00   0.240903E+03   0.179961E+02   0.429457E+15   0.288334E+35   0.104642E+04   0.157272E+03   0.108312E+00
